Description,Pre-Tax Amount,Tax Amount,Discount Amount,Name,Total Amount,Date,base_price_amount,revenue_category,membership_size,membership_freq,is_founder,is_free_membership,date_,Data Source,Day Pass Count
CAPITAN: Day Pass (Adult 14 and Up),0.0,1.65,20.0,CAPITAN: Day Pass (Adult 14 and Up),21.65,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 19:26:52+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),0.0,0.83,10.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),10.83,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 19:26:52+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 19:24:56+00:00,Square,2
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 19:19:53+00:00,Square,2
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 18:41:47+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 18:41:47+00:00,Square,2
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 18:31:43+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 18:31:43+00:00,Square,2
CAPITAN: Day Pass (Adult 14 and Up),20.0,1.65,0.0,CAPITAN: Day Pass (Adult 14 and Up),21.65,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 18:22:43+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 18:22:43+00:00,Square,2
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 18:01:42+00:00,Square,2
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),80.0,6.6,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),86.6,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 17:36:57+00:00,Square,4
4.5oz,5.2,0.43,0.0,Pipcorn Cheddar Cheese Balls,5.63,2025-01-20,5.2,Retail,,,False,False,2025-01-20 17:28:54+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),78.0,6.44,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),84.44,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 16:21:54+00:00,Square,3
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 16:12:33+00:00,Square,2
CAPITAN: Day Pass with Gear (Adult 14 and Up),104.0,8.58,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),112.58,2025-01-20,26.0,Day Pass,,,False,False,2025-01-20 16:11:18+00:00,Square,4
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),60.0,4.95,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),64.95,2025-01-20,20.0,Day Pass,,,False,False,2025-01-20 16:11:18+00:00,Square,3
CAPITAN: Youth Day Pass (Under 14y/o),14.0,1.16,0.0,CAPITAN: Youth Day Pass (Under 14y/o),15.16,2025-01-20,14.0,Day Pass,,,False,False,2025-01-20 16:07:59+00:00,Square,1
Regular,1.59,0.23,1.2,dripdash black sesame oat milk latte,3.02,2025-01-20,3.99,Retail,,,False,False,2025-01-20 15:09:49+00:00,Square,0
Regular,12.23,1.65,7.78,Beanie (Mustard),21.66,2025-01-20,27.79,Retail,,,False,False,2025-01-20 13:23:15+00:00,Square,0
JTree 50mL Climber Salve,20.99,1.73,0.0,Joshua Tree Organic Climbing Salve,22.72,2025-01-19,20.99,Retail,,,False,False,2025-01-19 23:50:36+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-19,20.0,Day Pass,,,False,False,2025-01-19 23:12:42+00:00,Square,2
Regular,1.8000000000000003,0.26,1.35,Han's Kombucha - Grapefruit Rosemary,3.41,2025-01-19,4.5,Retail,,,False,False,2025-01-19 22:04:30+00:00,Square,0
CAPITAN: Day Pass (Adult 14 and Up),20.0,1.65,0.0,CAPITAN: Day Pass (Adult 14 and Up),21.65,2025-01-19,20.0,Day Pass,,,False,False,2025-01-19 21:12:39+00:00,Square,1
CAPITAN: Youth Day Pass (Under 14y/o),14.0,1.15,0.0,CAPITAN: Youth Day Pass (Under 14y/o),15.15,2025-01-19,14.0,Day Pass,,,False,False,2025-01-19 21:12:39+00:00,Square,1
CAPITAN: Birthday Party- Member,125.0,10.31,0.0,CAPITAN: Birthday Party- Member,135.31,2025-01-19,125.0,Event Booking,,,False,False,2025-01-19 20:51:43+00:00,Square,0
CAPITAN: Birthday Party- additional participant,40.0,3.3,0.0,CAPITAN: Birthday Party- additional participant,43.3,2025-01-19,20.0,Event Booking,,,False,False,2025-01-19 20:51:43+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-19,26.0,Day Pass,,,False,False,2025-01-19 20:31:07+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.15,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.15,2025-01-19,26.0,Day Pass,,,False,False,2025-01-19 20:27:42+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),20.0,1.65,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),21.65,2025-01-19,20.0,Day Pass,,,False,False,2025-01-19 20:27:42+00:00,Square,1
Regular,1.59,0.23,1.2,dripdash kyoto iced coffee,3.02,2025-01-19,3.99,Retail,,,False,False,2025-01-19 18:07:12+00:00,Square,0
10,94.35,8.76,11.8,UNPARALLEL UP-MOCC,114.91,2025-01-19,117.95,Retail,,,False,False,2025-01-19 01:26:26+00:00,Square,0
GF 1 oz (Pack of 20)20,2.29,0.19,0.0,"Primal Beef Stick,Spicy",2.48,2025-01-19,2.29,Retail,,,False,False,2025-01-19 00:44:04+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.15,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.15,2025-01-19,26.0,Day Pass,,,False,False,2025-01-19 00:32:44+00:00,Square,1
CAPITAN: Non-Participant/Spectator Day Pass,5.0,0.41,0.0,CAPITAN: Non-Participant/Spectator Day Pass,5.41,2025-01-19,5.0,Day Pass,,,False,False,2025-01-19 00:32:44+00:00,Square,1
12oz regular,4.25,0.35,0.0,Red Bull Energy Drink,4.6,2025-01-19,4.25,Retail,,,False,False,2025-01-19 00:28:36+00:00,Square,0
Regular,4.0,0.33,0.0,Sticker - Basin Sunset Oval,4.33,2025-01-19,4.0,Retail,,,False,False,2025-01-19 00:17:27+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-19,26.0,Day Pass,,,False,False,2025-01-19 00:07:28+00:00,Square,2
Fruit Punch,1.0,0.14,0.75,BodyArmor 20 oz,1.89,2025-01-18,2.5,Retail,,,False,False,2025-01-18 23:27:25+00:00,Square,0
(1.2 oz)54,7.0,0.58,0.0,CLIF Zbar - Chocolate Brownie,7.58,2025-01-18,1.75,Retail,,,False,False,2025-01-18 22:46:58+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 22:38:19+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 22:37:55+00:00,Square,2
Chunky Blend Chalk - 1.5oz,3.95,0.37,0.5,Midnight Lightning Chunky Blend Chalk,4.82,2025-01-18,4.95,Retail,,,False,False,2025-01-18 22:29:56+00:00,Square,0
12oz regular,4.25,0.35,0.0,Red Bull Energy Drink,4.6,2025-01-18,4.25,Retail,,,False,False,2025-01-18 22:28:52+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 22:04:15+00:00,Square,2
CAPITAN: Day Pass with Gear (Adult 14 and Up),104.0,8.58,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),112.58,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 21:41:56+00:00,Square,4
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 21:41:22+00:00,Square,2
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),20.0,1.65,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),21.65,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 21:41:22+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 21:23:03+00:00,Square,2
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),20.0,1.65,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),21.65,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 21:23:03+00:00,Square,1
CAPITAN: Birthday Party- Member,0.0,5.16,62.5,CAPITAN: Birthday Party- Member,67.66,2025-01-18,125.0,Event Booking,,,False,False,2025-01-18 21:06:05+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),0.0,3.3,40.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 21:06:05+00:00,Square,2
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 20:14:03+00:00,Square,2
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),20.0,1.65,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),21.65,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 20:14:03+00:00,Square,1
Fruit Punch,1.0,0.14,0.75,Gatorade Thirst Quencher Sports Drink 20oz,1.89,2025-01-18,2.5,Retail,,,False,False,2025-01-18 20:03:16+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 19:04:44+00:00,Square,2
CAPITAN: Day Pass (Adult 14 and Up),20.0,1.65,0.0,CAPITAN: Day Pass (Adult 14 and Up),21.65,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 18:27:44+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.15,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.15,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 18:27:44+00:00,Square,1
Regular,1.9199999999999997,0.28,1.43,Honey Stinger Organic Salted Caramel Flavored Waffle,3.63,2025-01-18,2.39,Retail,,,False,False,2025-01-18 18:08:01+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 17:57:17+00:00,Square,2
CAPITAN: Day Pass (Adult 14 and Up),20.0,1.65,0.0,CAPITAN: Day Pass (Adult 14 and Up),21.65,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 17:38:06+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 17:38:06+00:00,Square,2
Regular,1.8000000000000003,0.26,1.35,Han's Kombucha - Citrus Vanilla Sage,3.41,2025-01-18,4.5,Retail,,,False,False,2025-01-18 15:29:35+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),78.0,6.43,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),84.43,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 01:35:35+00:00,Square,3
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),60.0,4.95,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),64.95,2025-01-18,20.0,Day Pass,,,False,False,2025-01-18 01:35:35+00:00,Square,3
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 00:53:51+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 00:52:25+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-18,26.0,Day Pass,,,False,False,2025-01-18 00:30:36+00:00,Square,2
Fruit Punch,1.0,0.14,0.75,Gatorade Thirst Quencher Sports Drink 20oz,1.89,2025-01-18,2.5,Retail,,,False,False,2025-01-18 00:14:55+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),80.0,6.6,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),86.6,2025-01-17,20.0,Day Pass,,,False,False,2025-01-17 23:28:34+00:00,Square,4
8.4fl.oz Sugar Free,1.29,0.19,0.98,Red Bull Energy Drink,2.46,2025-01-17,3.25,Retail,,,False,False,2025-01-17 23:20:15+00:00,Square,0
Regular,1.8000000000000003,0.26,1.35,Han's Kombucha - Pineapple Cactus Nectar,3.41,2025-01-17,4.5,Retail,,,False,False,2025-01-17 23:08:18+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),14.0,1.4,3.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),18.4,2025-01-17,20.0,Day Pass,,,False,False,2025-01-17 20:57:05+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-17,26.0,Day Pass,,,False,False,2025-01-17 17:59:08+00:00,Square,1
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-17,20.0,Day Pass,,,False,False,2025-01-17 17:59:08+00:00,Square,2
Regular,1.59,0.23,1.2,dripdash black sesame oat milk latte,3.02,2025-01-17,3.99,Retail,,,False,False,2025-01-17 17:54:47+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-17,26.0,Day Pass,,,False,False,2025-01-17 17:00:36+00:00,Square,2
Regular,1.59,0.23,1.2,dripdash lavender maple oatmilk latte,3.02,2025-01-17,3.99,Retail,,,False,False,2025-01-17 14:07:30+00:00,Square,0
Regular,1.59,0.23,1.2,dripdash black sesame oat milk latte,3.02,2025-01-17,3.99,Retail,,,False,False,2025-01-17 14:06:57+00:00,Square,0
Regular,1.8000000000000003,0.26,1.35,Han's Kombucha - Raspberry Rose,3.41,2025-01-17,4.5,Retail,,,False,False,2025-01-17 01:26:38+00:00,Square,0
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-17,26.0,Day Pass,,,False,False,2025-01-17 01:03:36+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),0.0,1.07,13.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),14.07,2025-01-17,26.0,Day Pass,,,False,False,2025-01-17 01:01:10+00:00,Square,1
CAPITAN: Day Pass (Adult 14 and Up),20.0,1.65,0.0,CAPITAN: Day Pass (Adult 14 and Up),21.65,2025-01-17,20.0,Day Pass,,,False,False,2025-01-17 00:54:45+00:00,Square,1
Fruit Punch,2.5,0.21,0.0,Gatorade Thirst Quencher Sports Drink 20oz,2.71,2025-01-16,2.5,Retail,,,False,False,2025-01-16 22:48:19+00:00,Square,0
Regular,1.9199999999999997,0.28,1.43,Honey Stinger Organic Salted Caramel Flavored Waffle,3.63,2025-01-16,2.39,Retail,,,False,False,2025-01-16 22:12:26+00:00,Square,0
12oz regular,1.6900000000000002,0.25,1.28,Red Bull Energy Drink,3.22,2025-01-16,4.25,Retail,,,False,False,2025-01-16 22:08:13+00:00,Square,0
8.4fl.oz Sugar Free,1.29,0.19,0.98,Red Bull Energy Drink,2.46,2025-01-16,3.25,Retail,,,False,False,2025-01-16 22:06:38+00:00,Square,0
8.4fl.oz Sugar Free,1.29,0.19,0.98,Red Bull Energy Drink,2.46,2025-01-16,3.25,Retail,,,False,False,2025-01-16 22:04:34+00:00,Square,0
"Gluten Free, Non-GMO Heirloom Corn, Non-Artificial, Preservative Free Snacks",1.9100000000000001,0.27,1.42,Heirloom Truffle Mini Popcorn by Pipcorn - 4.5oz,3.6,2025-01-16,4.75,Retail,,,False,False,2025-01-16 21:56:51+00:00,Square,0
GF 1 oz (Pack of 20)20,0.9100000000000001,0.13,0.69,"Primal Beef Stick,Spicy",1.73,2025-01-16,2.29,Retail,,,False,False,2025-01-16 21:36:25+00:00,Square,0
Regular,18.79,1.55,0.0,Basin Water Bottle,20.34,2025-01-16,18.79,Retail,,,False,False,2025-01-16 20:16:05+00:00,Square,0
Strawberry Lemonade,1.8,0.15,0.0,Skratch Labs Sport Hydration Drink Mix,1.95,2025-01-16,1.8,Retail,,,False,False,2025-01-16 20:16:05+00:00,Square,0
Regular,4.0,0.33,0.0,Sticker - Basin Sunset Oval,4.33,2025-01-16,4.0,Retail,,,False,False,2025-01-16 20:16:05+00:00,Square,0
CAPITAN: Youth Day Pass with Gear (Under 14 y/o),40.0,3.3,0.0,CAPITAN: Youth Day Pass with Gear (Under 14 y/o),43.3,2025-01-16,20.0,Day Pass,,,False,False,2025-01-16 20:10:39+00:00,Square,2
Regular,3.5999999999999996,0.33,0.45,Han's Kombucha - Citrus Vanilla Sage,4.38,2025-01-16,4.5,Retail,,,False,False,2025-01-16 18:59:06+00:00,Square,0
12 Fl Oz,2.61,0.24,0.32,"Tama Mate, GINGER Mate Sparkling Yerba Mate Tea",3.17,2025-01-16,3.25,Retail,,,False,False,2025-01-16 18:49:54+00:00,Square,0
Regular,4.5,0.37,0.0,Han's Kombucha - Citrus Vanilla Sage,4.87,2025-01-16,4.5,Retail,,,False,False,2025-01-16 18:43:28+00:00,Square,0
3-Pack Multi One Size,19.0,1.57,0.0,So Ill Holds Strength Trainer 3pk,20.57,2025-01-16,19.0,Retail,,,False,False,2025-01-16 01:55:06+00:00,Square,0
CAPITAN: Day Pass (Adult 14 and Up),20.0,1.65,0.0,CAPITAN: Day Pass (Adult 14 and Up),21.65,2025-01-16,20.0,Day Pass,,,False,False,2025-01-16 01:42:55+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),52.0,4.29,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),56.29,2025-01-16,26.0,Day Pass,,,False,False,2025-01-16 01:07:44+00:00,Square,2
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-16,26.0,Day Pass,,,False,False,2025-01-16 01:07:29+00:00,Square,1
CAPITAN: Day Pass with Gear (Adult 14 and Up),26.0,2.14,0.0,CAPITAN: Day Pass with Gear (Adult 14 and Up),28.14,2025-01-16,26.0,Day Pass,,,False,False,2025-01-16 00:41:25+00:00,Square,1
